RECTYPE,PORHSEQ,DATE,PONUMBER,FOBPOINT,VDCODE,VDNAME,PORTYPE,ORDEREDON,EXPARRIVAL,DESCRIPTIO,REFERENCE,COMMENT,VIACODE,VIANAME,CURRENCY,RATE,RATETYPE,RATEDATE,RATEOPER,TAXGROUP,TAXAUTH1,TAXCLASS1,,,,
RECTYPE,PORHSEQ,PORLREV,PORLSEQ,PORCSEQ,OEONUMBER,ITEMNO,LOCATION,ITEMDESC,VENDITEMNO,HASCOMMENT,ORDERUNIT,OQORDERED,UNITCOST,EXTENDED,TAXBASE1,TAXCLASS1,TAXRATE1,TAXINCLUD1,TAXAMOUNT1,TXALLOAMT1,TXRECVAMT1,TXEXPSAMT1,TXBASEALLO,DISCPCT,DISCOUNT,DETAILNUM
RECTYPE,PORHSEQ,PORCREV,PORCSEQ,COMMENTTYP,COMMENT,,,,,,,,,,,,,,,,,,,,,
RECTYPE,PORHSEQ,PORRREV,RQNNUMBER,BLNKVDCODE,USEVDTYPE,,,,,,,,,,,,,,,,,,,,,
RECTYPE,PORHSEQ,OPTFIELD,VALUE,SWSET,,,,,,,,,,,,,,,,,,,,,,
RECTYPE,PORHSEQ,PORLREV,OPTFIELD,VALUE,SWSET,,,,,,,,,,,,,,,,,,,,,
1,3031,20220426,PO0122000007,,C1L001      ,1LYNX SOLUTIONS SDN BHD,1,20220426,20220425,-,PR0122000025/norbaiyah,,,,MYR,1,SP,,1,SST,SSTG,1,,,,
2,3031,1000,3001,3002,,-,N1000S,To supply and install IP CCTV point,NA,FALSE,UNIT      ,15,398,5970,5970,1,0,FALSE,0,0,0,0,5970,0,0,1
2,3031,2000,3003,3004,,-,N1000S,"To supply and install MS Trunking  2""x2'/3 MS Trunking C/W bracket  accessories necessary as needed.",NA,FALSE,METER     ,35,69,2415,2415,1,0,FALSE,0,0,0,0,2415,0,0,2
2,3031,3000,3005,3006,,-,N1000S,4MP IR Mini Starlight DOME IP Network Camera  Fixed Lens  IP67  PoE (Dahua),NA,FALSE,UNIT      ,15,384,5760,5760,1,0,FALSE,0,0,0,0,5760,0,0,3
2,3031,4000,3007,3008,,-,N1000S,Network Video Recorder  64 Channel (HIK Vision NVR),NA,FALSE,UNIT      ,1,6750,6750,6750,1,0,FALSE,0,0,0,0,6750,0,0,4
2,3031,5000,3009,3010,,-,N1000S,24 ports GE PoE Switch; Dahua 24 port GE PoE + 2 GE Combo Uplink Managed Switch  Max 360W PoE budget,NA,FALSE,UNIT      ,1,1950,1950,1950,1,0,FALSE,0,0,0,0,1950,0,0,5
2,3031,6000,3011,3012,,-,N1000S,Seagate/Dahua 8Tb Skyhawk Hard Disk,NA,FALSE,UNIT      ,1,990,990,990,1,0,FALSE,0,0,0,0,990,0,0,6
2,3031,7000,3013,3014,,-,N1000S,Installation and Testing Comissioning,NA,FALSE,JOB       ,1,2450,2450,2450,1,0,FALSE,0,0,0,0,2450,0,0,7
